job_title,job_date,job_desc,job_tasks,comp_name,comp_type,comp_size,eco_activity,qualifications,region,city,benefits,contract,positions,exper,gender,salary_sep,benefits_sep,occupied_positions,total_positions,experience (Years),job_date_gregorian,city_corrected,qualifications_corrected
أخصائي ذكاء أعمال,26/05/1444,تحديد مصادر المعلومات والبيانات اللازمة لإعداد التحليلات والاختبارات العلمية واختيار أفضل الطرق والأدوات والأساليب لجمعها وتنظيمها وتحليلها بالشكل الأفضل وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال ذكاء الأعمال وعرضها وحفظها,"['   دراسة وتحليل الخطط المعدة وتفصيلها إلى عمليات منظمة، وتنظيم الأنشطة ومسار سير المعلومات وتوكيد استهدافها للخدمة أو المنتج المرغوب به', '  دراسة وتحليل النظريات والمنهجيات والتقنيات المعلوماتية والتجارب والممارسات التي تقوم على تحويل البيانات الأولية إلى معلومات مفيدة ذات معنى لأغراض الأعمال، وإعداد ورفع التوصيات والمقترحات بتبني أفضل الأساليب والممارسات الحديثة المناسبة', '  جمع المعلومات والبيانات المتعلقة بالجهة المعنية بشكل مستمر وتسجيلها وتحليلها وفقا لأهداف محددة، وإعداد التوصيات وتدارسها مع إدارات تقنية المعلومات بهدف استخدامها في عملية اتخاذ القرار لتحسين الأداء العام', '  تحليل الأعمال المعدة بهدف تحديد أفضل استراتيجيات العمل المناسبة في المجال المحدد ووضع الحلول المناسبة للمشاكل التخطيطية التي قد تواجه أثناء أداء الأعمال، مع ضمان توافر كافة التحليلات والمبررات المنطقية المؤيدة للنتائج', '  إعداد الوثائق والتقارير المتخصصة والمتعلقة بذكاء الأعمال وتقديم التوصيات المناسبة والحلول الملائمة وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7200.0', 'Benefits', 'بدل نقل 800 ريال']",دوام كامل,0 / 4,0 Years,both,0.0,بدل نقل 800 ريال,0,4,0,2022-12-20,Riyadh,لغة انجليزية: متوسط
بائع,26/05/1444,بيع مجموعة من السلع والخدمات للعملاء، وتوفير المعلومات المتعلقة بالمنتجات واستخداماتها وأسعارها، وتولي أمور الدفع وتلقي المدفوعات من العملاء.,"['   بيع مجموعة من السلع والخدمات للعملاء.', '  توفير المعلومات المتعلقة بالمنتجات، والاستخدامات، والأسعار.', '  مراقبة مستويات المخزون والحفاظ على ترتيب المتجر، وإصدار طلبات لشراء المنتجات، والتعامل مع المنتجات الواردة.', '  تولي أمور الدفع وتلقي المدفوعات من العملاء، ومعالجة طلبات استبدال المنتجات، والمرتجعات وفقاً للسياسة المتبعة.', '  ', '  ']",شركة بيت قطن للتجارة شركة شخص واحد,خاص,متوسطة فئة أ,البيع بالجملة للملابس الرياضية,"['Skill data', 'تسويق', 'مبتدئ']",المنطقة الشرقية,AL BATALI...,"['Salary', '4000.0']",دوام كامل,0 / 5,0 Years,both,4000.0,غير محدد,0,5,0,2022-12-20,Hafar Al-Batin,تسويق: مبتدئ
محلل بيانات,26/05/1444,جمع  البيانات ومعالجتها وتقديمها في مجموعة متنوعة من الصيغ والتنسيقات، وتطوير عمليات جديدة لتحليل البيانات، وتقديم المشورة بخصوص عمليات معالجة البيانات,"['   جمع قواعد البيانات ومراجعتها وتنظيفها وإدارتها، والتعاون مع مهندسي المنتجات والباحثين والأخصائيين لتحديد المشكلات ذات الصلة', '  تطوير الخوارزميات والنماذج الإحصائية، وإجراء التحليل الإحصائي المناسب، وتفسير النتائج', '  إعداد التقارير والمخططات والرسوم البيانية لمشاركة النتائج والتحليلات، وتوظيفها في صنع القرار', '  تحليل عمليات معالجة البيانات وجمعها في المنشأة، وتحديد فرص التحسين وتقديم المشورة حول مسار عمل موظفي الأبحاث', '  الحفاظ على الخبرة الفنية وتحديث المعارف بشكل مستمر، ودراسة المنشورات المتخصصة', '  ']",شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'انجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '7200.0', 'Benefits', 'بدل نقل 800 ريال']",دوام كامل,0 / 4,0 Years,both,0.0,بدل نقل 800 ريال,0,4,0,2022-12-20,Riyadh,انجليزية: متوسط
مدير حساب عميل,26/05/1444,إدارة محفظة من حسابات العملاء المهمين، والحفاظ على العلاقات مع كبار العملاء وتكوين علاقات جديدة، والإشراف على تقديم الحلول للعملاء.,"['   بناء علاقات مع كبار العملاء والمحافظة عليها، وتحديد احتياجاتهم وشواغلهم وتقديم الاستجابة الملائمة.', '  تحديد العملاء المحتملين الجدد، والعمل على فرص النمو، وبدء قنوات تواصل مع العملاء الجدد المستهدفين، أو متابعة هذه القنوات.', '  توجيه الفرق بهدف تقديم الحلول للعملاء، والإشراف على مجموعة من تفضيلات ومتطلبات العملاء، واتصالاتهم بالمنشأة.', '  العمل كنقطة اتصال مع العملاء الرئيسيين، وحل أي مشكلات قد تنشأ.', '  متابعة الشكاوى أو الاستفسارات الخاصة بالعملاء المهمين.', '  ']",مؤسسة عبر السوق لتقنية المعلومات,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'التسويق', 'مبتدئ', 'كتابة المحتوى', 'مبتدئ', 'مهارات التفاوض', 'مبتدئ', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",مكة المكرمة,JEDDAH...,"['Salary', '6000.0']",دوام كامل,0 / 3,2 Years,F,6000.0,غير محدد,0,3,2,2022-12-20,Jeddah,التسويق: مبتدئ، كتابة المحتوى: مبتدئ، مهارات التفاوض: مبتدئ، العربية: محترف، الانجليزية: متوسط
مصمم جرافيك,26/05/1444,لديه الخبرة   في اخراج العروض التقديمية الرسمية وتصميم الشعارات ,"['لديه الخبرة   في اخراج العروض التقديمية الرسمية وتصميم الشعارات ', 'لديه الخبرة في تصميم الانفواجرافيك وتصميم اللوحات الدعائية', 'لديه معرفه جيدة بالبرامج (فوتوشوب، واليستلاتور، إن ديزاين،  ثري دي ماكس , ادوب اكروبات بروفيشنال) .']",مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '7000.0']",دوام كامل,0 / 1,4 Years,M,7000.0,غير محدد,0,1,4,2022-12-20,Hail,
مدخل بيانات,26/05/1444,التمكن من استخدام برامج مايكروسفت أوفيس,['التمكن من استخدام برامج مايكروسفت أوفيس'],مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '3000.0']",دوام كامل,0 / 2,2 Years,M,3000.0,غير محدد,0,2,2,2022-12-20,Hail,
مطور برامج,26/05/1444, تحليل  وادارة تطبيقات باستخدام الأدوات البرمجية  وقواعد البيانات,['   تحليل  وادارة تطبيقات باستخدام الأدوات البرمجية  وقواعد البيانات'],مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '9000.0']",دوام كامل,0 / 1,4 Years,M,9000.0,غير محدد,0,1,4,2022-12-20,Hail,
أخصائي إدارة اداء,26/05/1444, فهم مبادئ الإدارة الإستراتيجية وقياس الأداء ، القدرة على التنسيق والإدارة لعدة أعمال متزامنة ، مهارات تحليله والقدرة على صنع واتخاذ القرار ، مهارات تحضير التقارير والتوصيات والملخصات التنفيذية الداعمة للقرار ، التمكن من استخدام برامج مايكروسفت أوفيس,"[' فهم مبادئ الإدارة الإستراتيجية وقياس الأداء ، القدرة على التنسيق والإدارة لعدة أعمال متزامنة ، مهارات تحليله والقدرة على صنع واتخاذ القرار ، مهارات تحضير التقارير والتوصيات والملخصات التنفيذية الداعمة للقرار ، التمكن من استخدام برامج مايكروسفت أوفيس', '  ']",مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,غير معروف,حائل,HAIL...,"['Salary', '12000.0']",دوام كامل,0 / 1,10 Years,M,12000.0,غير محدد,0,1,10,2022-12-20,Hail,
مدخل بيانات,26/05/1444,مراجعة استمارات البيانات وتدقيقها، وإدخال وتخزين البيانات والمعلومات بجهاز الحاسب الالي,"['   مراجعة الاستمارات المتعلقة بالبيانات وترميزها والتأكد من اكتمالها', '  إدخال البيانات والمعلومات في الحاسب الالي بحسب البرامج والنظم الاحصائية، ومراجعة رموز التصنيف للبيانات والمعلومات المدخلة، وتصويب الاخطاء فيها', '  تخزين المعلومات المدخلة', '  عمل النسخ الاحتياطية اللازمة للبيانات والمعلومات المخزنة', '  التقيد بالتعليمات المتعلقة بسرية البيانات والمعلومات', '  ']",شركة إرتقاء المتحدة لاجهزة السلامة,خاص,صغيرة فئة أ,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Language data', 'العربية', 'مبتدئ', 'Professional certificate \\ License data', 'بكالوريوس', 'مفيد']",مكة المكرمة,JEDDAH...,"['Salary', '4000.0']",دوام كامل,0 / 1,2 Years,F,4000.0,غير محدد,0,1,2,2022-12-20,Jeddah,العربية: مبتدئ، بكالوريوس: مفيد
كيميائي,26/05/1444,إجراء الأبحاث والتحاليل الكيميائية للعناصر والمركبات لأغراض تطوير المنتجات والعمليات والتطبيقات، وإجراء التحاليل الكمية والنوعية وتحسين الطرق التحليلية، وإجراء التجارب المخبرية لعينات من العناصر والمركبات، وإعداد الوثائق والتقارير المتخصصة بنتائج الأعمال والاختبارات.,"['   إجراء الأبحاث والتجارب والتحاليل الكمية والنوعية للعناصر والمركبات العضوية واللاعضوية لتحديد خواصها الكيميائية وبنيتها وتفاعلاتها ودراسة وتحليل النتائج.', '  تصميم وسائل وأساليب وتجهيزات وتطوير المعادلات والعمليات والطرق لحل المشكلات الفنية العملية.', '  إجراء الأبحاث على المنتجات الكيميائية المصنعة لتطوير وتحسين الإجراءات والعمليات وجودة المنتجات.', '  تطوير أساليب وإجراءات العمل ومواكبة التطورات التقنية.', '  إعداد الوثائق والتقارير المتخصصة المتعلقة بنتائج الدراسات الفيزيائية وسبل تطويرها، وعرضها وتوضيحها وحفظها في قاعدة البيانات الخاصة بها وفقاً للسياسات والإجراءات المعتمدة.', '  ']",شركة الغدير الدوليه للتسويق,خاص,صغيرة فئة أ,البيع بالجملة للمواد الكيميائية,"['Language data', 'الانجليزي ', 'متوسط', 'Professional certificate \\ License data', 'شهادة الهيئة الصحية للتخصصات الصحية ', 'ضروري']",مكة المكرمة,MAKKAH AL...,"['Salary', '5500.0']",دوام كامل,0 / 1,0 Years,F,5500.0,غير محدد,0,1,0,2022-12-20,Makkah,الانجليزي: متوسط، شهادة الهيئة الصحية للتخصصات الصحية: ضروري
محاسب,26/05/1444,إعداد وتنظيم مستندات الصرف ومتابعة تحصيل الإيرادات وتوثيقها وتحليلها، وإعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة وإعداد التقارير والوثائق المتعلقة بالنفقات والإيرادات وحفظها.,"['   تدقيق المطالبات المالية والتأكد من اكتمال شروطها القانونية والمالية، وإعداد وتنظيم وتوثيق مستندات الصرف ومتابعة تدقيقها وإجازتها للصرف من الجهات الرقابية المعتمدة.', '  مراقبة النفقات الجارية والرأسمالية بحسب الموقف المالي الشهري لبنود الموازنة، وإعداد الموقف المالي والخلاصات الشهرية وإعداد وتنظيم الحسابات الختامية السنوية.', '  إعداد القيود المحاسبية وتسجيل العمليات المالية بالسجلات وتدقيق حسابات البنوك وإعداد التسويات اللازمة مع كشوف المطابقة الشهرية.', '  تطوير أساليب وإجراءات المحاسبة ومواكبة التطور العلمي والتقني في مجال المحاسبة.', '  إعداد الوثائق والتقارير المتخصصة في مجال محاسبة النفقات والإيرادات وحفظها في قاعدة البيانات الخاصة بذلك.', '  ']",شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,"['Language data', 'الانجليزية', 'متوسط']",الرياض,AR RIYADH...,"['Salary', '5000.0']",دوام كامل,0 / 1,0 Years,F,5000.0,غير محدد,0,1,0,2022-12-20,Riyadh,الانجليزية: متوسط
